Month,"Monthly interest rates Government Bond Yield 2-year securities, Reserve Bank of Australia. Jan 1969 ? Sep 1994"
1978-03,8.83%
1978-04,8.83%
1978-05,8.82%
1978-06,8.83%
1978-07,8.83%
1978-08,8.79%
1978-09,8.79%
1978-10,8.69%
1978-11,8.66%
1978-12,8.67%
1979-01,8.72%
1979-02,8.77%
1979-03,9%
1979-04,9.61%
1979-05,9.70%
1979-06,9.94%
1979-07,9.94%
1979-08,9.94%
1979-09,9.95%
1979-10,9.94%
1979-11,9.96%
1979-12,9.97%
1980-01,10.83%
1980-02,10.75%
1980-03,11.20%
1980-04,11.40%
1980-05,11.54%
1980-06,11.50%
1980-07,11.34%
1980-08,11.50%
1980-09,11.50%
1980-10,11.58%
1980-11,12.42%
1980-12,12.85%
1981-01,13.10%
1981-02,13.12%
1981-03,13.10%
1981-04,13.15%
1981-05,13.10%
1981-06,13.20%
1981-07,14.20%
1981-08,14.75%
1981-09,14.60%
1981-10,14.60%
1981-11,14.45%
1981-12,14.50%
1982-01,14.80%
1982-02,15.85%
1982-03,16.20%
1982-04,16.50%
1982-05,16.40%
1982-06,16.40%
1982-07,16.35%
1982-08,16.10%
1982-09,13.70%
1982-10,13.50%
1982-11,14%
1982-12,12.30%
1983-01,12%
1983-02,14.35%
1983-03,14.60%
1983-04,12.50%
1983-05,12.75%
1983-06,13.70%
1983-07,13.45%
1983-08,13.55%
1983-09,12.60%
1983-10,12%
1983-11,11%
1983-12,11.60%
1984-01,12.05%
1984-02,12.35%
1984-03,12.70%
1984-04,12.45%
1984-05,12.55%
1984-06,12.20%
1984-07,12.10%
1984-08,11.15%
1984-09,11.85%
1984-10,12.10%
1984-11,12.50%
1984-12,12.90%
1985-01,12.50%
1985-02,13.20%
1985-03,13.65%
1985-04,13.65%
1985-05,13.50%
1985-06,13.45%
1985-07,13.35%
1985-08,14.45%
1985-09,14.30%
1985-10,15.05%
1985-11,15.55%
1985-12,15.65%
1986-01,14.65%
1986-02,14.15%
1986-03,13.30%
1986-04,12.65%
1986-05,12.70%
1986-06,12.80%
1986-07,14.50%
1986-08,15.10%
1986-09,15.15%
1986-10,14.30%
1986-11,14.25%
1986-12,14.05%
1987-01,14.70%
1987-02,15.05%
1987-03,14.05%
1987-04,13.80%
1987-05,13.25%
1987-06,13%
1987-07,12.85%
1987-08,12.60%
1987-09,11.80%
1987-10,13%
1987-11,12.35%
1987-12,11.45%
1988-01,11.35%
1988-02,11.55%
1988-03,10.85%
1988-04,10.90%
1988-05,12.30%
1988-06,11.70%
1988-07,12.05%
1988-08,12.30%
1988-09,12.90%
1988-10,13.05%
1988-11,13.30%
1988-12,13.85%
1989-01,14.65%
1989-02,15.05%
1989-03,15.15%
1989-04,14.85%
1989-05,15.70%
1989-06,15.40%
1989-07,15.10%
1989-08,14.80%
1989-09,15.80%
1989-10,15.80%
1989-11,15%
1989-12,14.40%
1990-01,13.80%
1990-02,14.30%
1990-03,14.15%
1990-04,14.45%
1990-05,14.10%
1990-06,14.05%
1990-07,13.75%
1990-08,13.30%
1990-09,13%
1990-10,12.55%
1990-11,12.25%
1990-12,11.85%
1991-01,11.50%
1991-02,11.10%
1991-03,11.15%
1991-04,10.70%
1991-05,10.25%
1991-06,10.55%
1991-07,10.25%
1991-08,10.30%
1991-09,9.60%
1991-10,8.40%
1991-11,8.20%
1991-12,7.25%
1992-01,8.35%
1992-02,8.25%
1992-03,8.30%
1992-04,7.40%
1992-05,7.15%
1992-06,6.35%
1992-07,5.65%
1992-08,7.40%
1992-09,7.20%
1992-10,7.05%
1992-11,7.10%
1992-12,6.85%
1993-01,6.50%
1993-02,6.25%
1993-03,5.95%
1993-04,5.65%
1993-05,5.85%
1993-06,5.45%
1993-07,5.30%
1993-08,5.20%
1993-09,5.55%
1993-10,5.15%
1993-11,5.40%
1993-12,5.35%
1994-01,5.10%
1994-02,5.80%
1994-03,6.35%
1994-04,6.50%
1994-05,6.95%
1994-06,8.05%
1994-07,7.85%
1994-08,7.75%
1994-09,8.60%
,
Monthly interest rates Government Bond Yield 2-year securities, Reserve Bank of Australia. Jan 1969 ? Sep 1994
