"city","year","weekofyear","total_cases"
"iq",2011,16,10
"iq",2011,17,7
"iq",2011,18,8
"iq",2011,19,8
"iq",2011,20,10
"iq",2011,21,7
"iq",2011,22,9
"iq",2011,23,9
"iq",2011,24,12
"iq",2011,25,8
"iq",2011,26,10
"iq",2011,27,9
"iq",2011,28,12
"iq",2011,29,6
"iq",2011,30,9
"iq",2011,31,2
"iq",2011,32,14
"iq",2011,33,9
"iq",2011,34,7
"iq",2011,35,13
"iq",2011,36,8
"iq",2011,37,8
"iq",2011,38,1
"iq",2011,39,8
"iq",2011,40,0
"iq",2011,41,8
"iq",2011,42,13
"iq",2011,43,0
"iq",2011,44,1
"iq",2011,45,11
"iq",2011,46,10
"iq",2011,47,6
"iq",2011,48,2
"iq",2011,49,11
"iq",2011,50,8
"iq",2011,51,11
"iq",2012,52,8
"iq",2012,1,10
"iq",2012,2,6
"iq",2012,3,10
"iq",2012,4,5
"iq",2012,5,8
"iq",2012,6,11
"iq",2012,7,7
"iq",2012,8,10
"iq",2012,9,8
"iq",2012,10,9
"iq",2012,11,8
"iq",2012,12,6
"iq",2012,13,8
"iq",2012,14,8
"iq",2012,15,8
"iq",2012,16,7
"iq",2012,17,0
"iq",2012,18,7
"iq",2012,19,8
"iq",2012,20,1
"iq",2012,21,9
"iq",2012,22,11
"iq",2012,23,11
"iq",2012,24,12
"iq",2012,25,7
"iq",2012,26,9
"iq",2012,27,11
"iq",2012,28,15
"iq",2012,29,10
"iq",2012,30,3
"iq",2012,31,10
"iq",2012,32,6
"iq",2012,33,13
"iq",2012,34,0
"iq",2012,35,8
"iq",2012,36,2
"iq",2012,37,1
"iq",2012,38,2
"iq",2012,39,9
"iq",2012,40,8
"iq",2012,41,8
"iq",2012,42,8
"iq",2012,43,7
"iq",2012,44,3
"iq",2012,45,8
"iq",2012,46,7
"iq",2012,47,11
"iq",2012,48,0
"iq",2012,49,2
"iq",2012,50,9
"iq",2012,51,8
"iq",2013,1,9
"iq",2013,2,10
"iq",2013,3,11
"iq",2013,4,8
"iq",2013,5,1
"iq",2013,6,11
"iq",2013,7,8
"iq",2013,8,6
"iq",2013,9,7
"iq",2013,10,5
"iq",2013,11,9
"iq",2013,12,8
"iq",2013,13,8
"iq",2013,14,10
"iq",2013,15,7
"iq",2013,16,7
"iq",2013,17,8
"iq",2013,18,3
"iq",2013,19,1
"iq",2013,20,3
"iq",2013,21,7
"iq",2013,22,5
"iq",2013,23,8
"iq",2013,24,8
"iq",2013,25,8
"iq",2013,26,12
