"city","year","weekofyear","total_cases"
"sj",2010,47,52
"sj",2010,48,47
"sj",2010,49,43
"sj",2010,50,38
"sj",2010,51,34
"sj",2011,52,30
"sj",2011,1,26
"sj",2011,2,23
"sj",2011,3,21
"sj",2011,4,18
"sj",2011,5,17
"sj",2011,6,15
"sj",2011,7,13
"sj",2011,8,12
"sj",2011,9,11
"sj",2011,10,9
"sj",2011,11,8
"sj",2011,12,7
"sj",2011,13,7
"sj",2011,14,6
"sj",2011,15,5
"sj",2011,16,5
"sj",2011,17,4
"sj",2011,18,4
"sj",2011,19,4
"sj",2011,20,4
"sj",2011,21,4
"sj",2011,22,4
"sj",2011,23,4
"sj",2011,24,5
"sj",2011,25,5
"sj",2011,26,6
"sj",2011,27,6
"sj",2011,28,7
"sj",2011,29,8
"sj",2011,30,9
"sj",2011,31,10
"sj",2011,32,11
"sj",2011,33,12
"sj",2011,34,13
"sj",2011,35,14
"sj",2011,36,16
"sj",2011,37,17
"sj",2011,38,18
"sj",2011,39,20
"sj",2011,40,21
"sj",2011,41,23
"sj",2011,42,24
"sj",2011,43,25
"sj",2011,44,27
"sj",2011,45,28
"sj",2011,46,30
"sj",2011,47,31
"sj",2011,48,33
"sj",2011,49,34
"sj",2011,50,36
"sj",2011,51,37
"sj",2012,52,39
"sj",2012,1,41
"sj",2012,2,43
"sj",2012,3,46
"sj",2012,4,48
"sj",2012,5,51
"sj",2012,6,53
"sj",2012,7,56
"sj",2012,8,59
"sj",2012,9,62
"sj",2012,10,65
"sj",2012,11,68
"sj",2012,12,71
"sj",2012,13,73
"sj",2012,14,75
"sj",2012,15,77
"sj",2012,16,77
"sj",2012,17,76
"sj",2012,18,75
"sj",2012,19,71
"sj",2012,20,67
"sj",2012,21,62
"sj",2012,22,57
"sj",2012,23,52
"sj",2012,24,47
"sj",2012,25,42
"sj",2012,26,38
"sj",2012,27,33
"sj",2012,28,29
"sj",2012,29,26
"sj",2012,30,23
"sj",2012,31,20
"sj",2012,32,18
"sj",2012,33,16
"sj",2012,34,14
"sj",2012,35,13
"sj",2012,36,11
"sj",2012,37,10
"sj",2012,38,9
"sj",2012,39,8
"sj",2012,40,7
"sj",2012,41,6
"sj",2012,42,5
"sj",2012,43,5
"sj",2012,44,4
"sj",2012,45,4
"sj",2012,46,4
"sj",2012,47,3
"sj",2012,48,3
"sj",2012,49,4
"sj",2012,50,4
"sj",2012,51,4
"sj",2013,1,4
"sj",2013,2,5
"sj",2013,3,5
"sj",2013,4,6
"sj",2013,5,7
"sj",2013,6,8
"sj",2013,7,9
"sj",2013,8,10
"sj",2013,9,11
"sj",2013,10,12
"sj",2013,11,13
"sj",2013,12,15
"sj",2013,13,16
"sj",2013,14,17
"sj",2013,15,19
"sj",2013,16,20
"sj",2013,17,22
"iq",2010,26,5
"iq",2010,27,5
"iq",2010,28,6
"iq",2010,29,7
"iq",2010,30,8
"iq",2010,31,9
"iq",2010,32,10
"iq",2010,33,11
"iq",2010,34,13
"iq",2010,35,14
"iq",2010,36,16
"iq",2010,37,17
"iq",2010,38,19
"iq",2010,39,20
"iq",2010,40,22
"iq",2010,41,23
"iq",2010,42,25
"iq",2010,43,26
"iq",2010,44,28
"iq",2010,45,29
"iq",2010,46,30
"iq",2010,47,31
"iq",2010,48,32
"iq",2010,49,33
"iq",2010,50,33
"iq",2010,51,34
"iq",2011,52,35
"iq",2011,1,36
"iq",2011,2,38
"iq",2011,3,39
"iq",2011,4,40
"iq",2011,5,41
"iq",2011,6,43
"iq",2011,7,45
"iq",2011,8,46
"iq",2011,9,48
"iq",2011,10,50
"iq",2011,11,52
"iq",2011,12,54
"iq",2011,13,56
"iq",2011,14,59
"iq",2011,15,61
"iq",2011,16,63
"iq",2011,17,65
"iq",2011,18,67
"iq",2011,19,68
"iq",2011,20,69
"iq",2011,21,68
"iq",2011,22,68
"iq",2011,23,66
"iq",2011,24,64
"iq",2011,25,60
"iq",2011,26,57
"iq",2011,27,53
"iq",2011,28,48
"iq",2011,29,44
"iq",2011,30,40
"iq",2011,31,36
"iq",2011,32,32
"iq",2011,33,29
"iq",2011,34,26
"iq",2011,35,23
"iq",2011,36,21
"iq",2011,37,19
"iq",2011,38,17
"iq",2011,39,16
"iq",2011,40,14
"iq",2011,41,13
"iq",2011,42,12
"iq",2011,43,11
"iq",2011,44,10
"iq",2011,45,9
"iq",2011,46,8
"iq",2011,47,7
"iq",2011,48,7
"iq",2011,49,6
"iq",2011,50,6
"iq",2011,51,6
"iq",2012,52,6
"iq",2012,1,6
"iq",2012,2,6
"iq",2012,3,6
"iq",2012,4,6
"iq",2012,5,6
"iq",2012,6,7
"iq",2012,7,7
"iq",2012,8,8
"iq",2012,9,9
"iq",2012,10,9
"iq",2012,11,10
"iq",2012,12,11
"iq",2012,13,12
"iq",2012,14,13
"iq",2012,15,14
"iq",2012,16,15
"iq",2012,17,17
"iq",2012,18,18
"iq",2012,19,19
"iq",2012,20,20
"iq",2012,21,22
"iq",2012,22,23
"iq",2012,23,24
"iq",2012,24,25
"iq",2012,25,27
"iq",2012,26,28
"iq",2012,27,29
"iq",2012,28,31
"iq",2012,29,32
"iq",2012,30,34
"iq",2012,31,35
"iq",2012,32,37
"iq",2012,33,39
"iq",2012,34,40
"iq",2012,35,42
"iq",2012,36,44
"iq",2012,37,47
"iq",2012,38,49
"iq",2012,39,52
"iq",2012,40,54
"iq",2012,41,57
"iq",2012,42,60
"iq",2012,43,63
"iq",2012,44,66
"iq",2012,45,69
"iq",2012,46,71
"iq",2012,47,73
"iq",2012,48,74
"iq",2012,49,75
"iq",2012,50,75
"iq",2012,51,73
"iq",2013,1,70
"iq",2013,2,67
"iq",2013,3,62
"iq",2013,4,57
"iq",2013,5,52
"iq",2013,6,47
"iq",2013,7,43
"iq",2013,8,38
"iq",2013,9,34
"iq",2013,10,30
"iq",2013,11,26
"iq",2013,12,23
"iq",2013,13,21
"iq",2013,14,18
"iq",2013,15,17
"iq",2013,16,15
"iq",2013,17,13
"iq",2013,18,12
"iq",2013,19,11
"iq",2013,20,9
"iq",2013,21,8
"iq",2013,22,7
"iq",2013,23,7
"iq",2013,24,6
"iq",2013,25,5
"iq",2013,26,5
